"app","bc","ug"
52557,"CS_03.4.4","NA_BG"
53081,"CO_08.6","NA_BG"
54007,"CS_03.6.4","NA_BG"
54024,"CS_03.5.1","NA_BG"
54024,"CS_03.5.2","NA_BG"
54024,"CS_03.5.3","NA_BG"
54024,"CS_03.5.4","NA_BG"
54024,"CS_03.5.5","NA_BG"
56565,"CS_03.1.3","NA_BG"
56930,"CO_02.1","NA_BG"
57208,"CO_03.3","NA_BG"
57208,"CS_03.1.6","NA_BG"
57210,"CO_03.3","NA_BG"
57505,"CO_03","NA_BG"
57521,"EN_3.2","NA_BG"
57593,"CS_03.1.3","NA_BG"
57746,"CS_03.1.3","NA_BG"
57746,"CS_03.1.4","NA_BG"
57746,"CS_03.1.5","NA_BG"
57746,"CS_03.1.6","NA_BG"
57746,"CS_03.1.7","NA_BG"
57746,"CS_03.1.8","NA_BG"
57746,"CS_03.2.2","NA_BG"
57746,"CS_03.2.3","NA_BG"
57746,"CS_03.3.4","NA_BG"
57848,"EN_1.2","NA_BG"
57848,"EN_1.6","NA_BG"
57893,"CO_01.8.1","NA_BG"
57893,"CO_03.1","NA_BG"
57893,"CO_04.3","NA_BG"
57893,"CO_05.3","NA_BG"
57893,"CO_09.1","NA_BG"
57893,"CO_09.2","NA_BG"
57893,"CS_03.2.3","NA_BG"
57893,"CS_03.4.3","NA_BG"
57893,"CS_03.8.7","NA_BG"
57893,"EN_5.4","NA_BG"
58064,"CO_03.2","NA_BG"
58064,"CO_03.3","NA_BG"
58200,"EN_5.7","NA_BG"
58253,"CO_06.6","NA_BG"
58431,"EN_5.4","NA_BG"
58618,"EN_5.4","NA_BG"
58671,"CS_03.1.3","NA_BG"
58671,"CS_03.1.4","NA_BG"
58671,"CS_03.1.5","NA_BG"
58671,"CS_03.1.6","NA_BG"
58671,"CS_03.1.8","NA_BG"
58671,"CS_03.2.1","NA_BG"
58671,"CS_03.3.4","NA_BG"
58671,"CS_03.3.6","NA_BG"
58671,"CS_03.6.4","NA_BG"
58671,"CS_03.6.5","NA_BG"
58671,"EN_3.2","NA_BG"
59530,"CO_03.1","NA_BG"
59539,"CS_03.1.3","NA_BG"
59616,"CS_03.8.4","NA_BG"
59620,"CS_03.8.4","NA_BG"
59623,"CS_03.8.4","NA_BG"
59632,"CS_03.6.1","NA_BG"
59632,"EN_5.7","NA_BG"
59634,"CS_03.1.3","NA_BG"
59664,"EN_5.6","NA_BG"
60483,"CO_06.6","NA_BG"
60650,"EN_6.2","NA_BG"
60755,"EN_3.2","NA_BG"
60816,"EN_3.2","NA_BG"
61342,"CO_03.6","NA_BG"
61574,"CS_03.1.7","NA_BG"
61574,"CS_03.6.1","NA_BG"
61739,"CS_03.1.3","NA_BG"
61772,"EN_5.5","NA_BG"
61809,"CS_03.6.1","NA_BG"
61809,"EN_5.7","NA_BG"
62175,"CO_03.2","NA_BG"
62175,"CO_03.3","NA_BG"
62428,"CS_03.3.4","NA_BG"
62566,"CS_03.1.4","NA_BG"
62566,"CS_03.3.6","NA_BG"
62566,"CS_03.5.1","NA_BG"
62566,"CS_03.5.2","NA_BG"
62566,"CS_03.9.1","NA_BG"
62607,"EN_4.1","NA_BG"
62648,"EN_4.1","NA_BG"
62818,"EN_3.4","NA_BG"
62818,"EN_3.5","NA_BG"
62824,"EN_4.2","NA_BG"
62828,"EN_3.2","NA_BG"
62836,"CS_03.1.3","NA_BG"
62838,"CS_03.3.4","NA_BG"
63234,"CS_03.1.3","NA_BG"
63265,"EN_1.5","NA_BG"
63267,"CS_03.8.4","NA_BG"
63275,"CS_03.5.4","NA_BG"
63275,"CS_03.5.5","NA_BG"
63286,"EN_4.1","NA_BG"
63317,"CS_03.8.3","NA_BG"
63317,"EN_5.4","NA_BG"
63400,"CS_03.2","NA_BG"
63400,"CS_03.3.4","NA_BG"
63458,"CO_03.3","NA_BG"
63458,"CO_03.4","NA_BG"
63542,"CS_03.8.4","NA_BG"
64158,"CS_03.8.4","NA_BG"
64185,"CO_03.2","NA_BG"
64185,"CO_03.3","NA_BG"
64686,"EN_4.2","NA_BG"
64692,"CO_03.2","NA_BG"
64692,"CO_03.3","NA_BG"
64710,"CO_06.6","NA_BG"
64735,"CS_03.5.5","NA_BG"
65155,"EN_5.8","NA_BG"
65184,"CO_07.3","NA_BG"
65194,"CO_10.1","NA_BG"
65194,"CO_10.2","NA_BG"
65194,"CO_10.3","NA_BG"
65296,"EN_5.9","NA_BG"
65299,"CS_03.1.3","NA_BG"
65305,"EN_3.2","NA_BG"
65352,"CS_03.8.8","NA_BG"
66531,"CO_10.2","NA_BG"
66531,"CO_10.3","NA_BG"
66531,"CS_03.4.4","NA_BG"
66533,"CO_10.1","NA_BG"
